treatment,outcome,date
4,0,06/03/2019
2,0,06/03/2019
6,0,06/03/2019
6,0,06/03/2019
6,0,06/03/2019
6,0,06/03/2019
6,0,06/03/2019
3,0,06/03/2019
5,1,06/03/2019
3,0,06/03/2019
3,0,06/03/2019
5,0,06/03/2019
6,1,06/03/2019
3,0,06/03/2019
2,0,06/03/2019
1,0,06/03/2019
4,1,06/03/2019
1,0,06/03/2019
5,0,06/03/2019
2,0,06/03/2019
5,0,06/03/2019
2,0,06/03/2019
3,0,06/03/2019
2,0,06/03/2019
1,0,06/03/2019
3,0,06/03/2019
5,0,06/03/2019
1,0,06/03/2019
4,1,06/03/2019
5,0,06/03/2019
3,1,06/03/2019
6,0,06/03/2019
6,1,06/03/2019
6,0,06/03/2019
1,0,06/03/2019
5,0,06/03/2019
2,0,06/03/2019
1,1,06/03/2019
5,0,06/03/2019
4,0,06/03/2019
1,0,06/03/2019
2,1,06/03/2019
4,1,06/03/2019
5,0,06/03/2019
3,1,06/03/2019
4,0,06/03/2019
1,0,06/03/2019
1,0,06/03/2019
1,0,06/03/2019
4,1,06/03/2019
6,0,06/03/2019
3,0,06/03/2019
1,0,06/03/2019
2,0,06/03/2019
3,0,06/03/2019
6,0,06/03/2019
3,0,06/03/2019
4,0,06/03/2019
3,1,06/03/2019
5,0,06/03/2019
2,0,06/03/2019
6,0,06/03/2019
3,1,06/03/2019
6,0,06/03/2019
5,0,06/03/2019
1,1,06/03/2019
2,0,06/03/2019
1,0,06/03/2019
5,1,06/03/2019
6,1,06/03/2019
1,0,06/03/2019
2,1,06/03/2019
5,0,06/03/2019
1,1,06/03/2019
2,0,06/03/2019
4,0,06/03/2019
1,0,06/03/2019
4,0,06/03/2019
2,0,06/03/2019
4,0,06/03/2019
1,0,06/03/2019
1,0,06/03/2019
4,0,06/03/2019
1,0,06/03/2019
2,1,06/03/2019
6,1,06/03/2019
6,0,06/03/2019
2,0,06/03/2019
2,0,06/03/2019
2,0,06/03/2019
3,0,06/03/2019
6,0,06/03/2019
2,0,06/03/2019
1,0,06/03/2019
5,1,06/03/2019
2,1,06/03/2019
5,0,06/03/2019
5,0,06/03/2019
6,0,06/03/2019
1,0,06/03/2019
3,0,06/03/2019
3,0,06/03/2019
2,0,06/03/2019
4,0,06/03/2019
2,1,06/03/2019
4,0,06/03/2019
1,1,06/03/2019
5,1,06/03/2019
5,1,06/03/2019
3,0,06/03/2019
2,0,06/03/2019
6,0,06/03/2019
5,0,06/03/2019
4,0,06/03/2019
2,0,06/03/2019
2,0,06/03/2019
6,0,06/03/2019
5,0,06/03/2019
3,0,06/03/2019
6,0,06/03/2019
6,0,06/03/2019
1,0,06/03/2019
1,0,06/03/2019
5,0,06/03/2019
6,0,06/03/2019
1,0,06/03/2019
3,1,06/03/2019
2,1,06/03/2019
2,0,06/03/2019
4,0,06/03/2019
6,1,06/03/2019
1,0,06/03/2019
2,0,06/03/2019
6,0,06/03/2019
1,0,06/03/2019
4,0,06/03/2019
1,1,06/03/2019
5,0,06/03/2019
5,0,06/03/2019
5,0,06/03/2019
3,0,06/03/2019
6,0,06/03/2019
6,0,06/03/2019
1,0,06/03/2019
2,1,06/03/2019
2,1,06/03/2019
6,1,06/03/2019
1,0,06/03/2019
5,0,06/03/2019
6,0,06/03/2019
6,0,06/03/2019
5,0,06/03/2019
6,0,06/03/2019
1,0,06/03/2019
4,0,06/03/2019
1,0,06/03/2019
5,0,06/03/2019
2,0,06/03/2019
4,0,06/03/2019
3,1,06/03/2019
6,0,06/03/2019
4,0,06/03/2019
4,1,06/03/2019
6,0,06/03/2019
1,0,06/03/2019
3,0,06/03/2019
3,1,06/03/2019
2,0,06/03/2019
3,0,06/03/2019
4,0,06/03/2019
2,1,06/03/2019
5,1,06/03/2019
1,0,06/03/2019
2,1,06/03/2019
4,0,06/03/2019
2,1,06/03/2019
4,0,06/03/2019
4,0,06/03/2019
3,0,06/03/2019
1,0,06/03/2019
1,0,06/03/2019
1,0,06/03/2019
5,1,06/03/2019
2,0,06/03/2019
6,0,06/03/2019
3,0,06/03/2019
5,0,06/03/2019
6,0,06/03/2019
4,0,06/03/2019
3,0,06/03/2019
1,0,06/03/2019
3,1,06/03/2019
4,0,06/03/2019
2,0,06/03/2019
5,0,06/03/2019
3,0,06/03/2019
1,0,06/03/2019
4,0,06/03/2019
2,1,06/03/2019
3,0,06/03/2019
1,1,06/03/2019
6,0,06/03/2019
2,0,06/03/2019
4,1,06/03/2019
4,0,06/03/2019
1,0,06/03/2019
2,0,06/03/2019
4,0,06/03/2019
6,0,06/03/2019
1,0,06/03/2019
4,0,06/03/2019
4,0,06/03/2019
2,0,06/03/2019
4,0,06/03/2019
2,0,06/03/2019
6,0,06/03/2019
4,0,06/03/2019
4,0,06/03/2019
1,0,06/03/2019
4,0,06/03/2019
3,0,06/03/2019
1,0,06/03/2019
1,0,06/03/2019
5,0,06/03/2019
4,0,06/03/2019
6,1,06/03/2019
1,0,06/03/2019
1,0,06/03/2019
6,0,06/03/2019
6,0,06/03/2019
3,1,06/03/2019
4,0,06/03/2019
3,0,06/03/2019
6,1,06/03/2019
3,0,06/03/2019
2,0,06/03/2019
2,1,06/03/2019
6,0,06/03/2019
6,0,06/03/2019
5,0,06/03/2019
1,0,06/03/2019
2,0,06/03/2019
3,0,06/03/2019
3,0,06/03/2019
3,0,06/03/2019
6,1,06/03/2019
6,0,06/03/2019
2,0,06/03/2019
2,0,06/03/2019
2,0,06/03/2019
2,1,06/03/2019
4,0,06/03/2019
1,1,06/03/2019
6,0,06/03/2019
1,0,06/03/2019
5,1,06/03/2019
4,0,06/03/2019
5,0,06/03/2019
6,1,06/03/2019
2,1,06/03/2019
3,0,06/03/2019
3,0,06/03/2019
2,0,06/03/2019
3,0,06/03/2019
3,0,06/03/2019
1,0,06/03/2019
4,0,06/03/2019
4,1,06/03/2019
5,0,06/03/2019
3,0,06/03/2019
6,0,06/03/2019
5,0,06/03/2019
1,0,06/03/2019
5,0,06/03/2019
4,0,06/03/2019
3,0,06/03/2019
3,1,06/03/2019
1,0,06/03/2019
4,0,06/03/2019
6,0,06/03/2019
1,0,06/03/2019
6,0,06/03/2019
3,0,06/03/2019
1,0,06/03/2019
6,1,06/03/2019
1,0,06/03/2019
6,0,06/03/2019
3,0,06/03/2019
6,1,06/03/2019
1,0,06/03/2019
5,1,06/03/2019
6,0,06/03/2019
5,0,06/03/2019
5,0,06/03/2019
2,0,06/03/2019
4,0,06/03/2019
6,0,06/03/2019
1,0,06/03/2019
2,0,06/03/2019
6,0,06/03/2019
4,0,06/03/2019
2,0,06/03/2019
2,0,06/03/2019
5,0,06/03/2019
4,1,06/03/2019
3,0,06/03/2019
5,0,06/03/2019
6,0,06/03/2019
6,0,06/03/2019
3,0,06/03/2019
2,0,06/03/2019
6,0,06/03/2019
6,0,06/03/2019
4,1,06/03/2019
4,0,06/03/2019
1,0,06/03/2019
4,0,06/03/2019
6,1,06/03/2019
4,0,06/03/2019
4,0,06/03/2019
2,0,06/03/2019
5,0,06/03/2019
4,1,06/03/2019
5,0,06/03/2019
2,0,06/03/2019
5,0,06/03/2019
4,0,06/03/2019
2,1,06/03/2019
1,0,06/03/2019
5,0,06/03/2019
3,0,06/03/2019
4,0,06/03/2019
6,0,06/03/2019
5,0,06/03/2019
5,0,06/03/2019
5,0,06/03/2019
6,0,06/03/2019
5,0,06/03/2019
2,0,06/03/2019
6,0,06/03/2019
6,0,06/03/2019
1,0,06/03/2019
3,0,06/03/2019
2,0,06/03/2019
2,0,06/03/2019
6,0,06/03/2019
3,1,06/03/2019
5,0,06/03/2019
3,1,06/03/2019
5,0,06/03/2019
5,0,06/03/2019
3,0,06/03/2019
3,0,06/03/2019
3,0,06/03/2019
5,0,06/03/2019
3,0,06/03/2019
6,0,06/03/2019
3,0,06/03/2019
2,0,06/03/2019
2,0,06/03/2019
4,0,06/03/2019
6,0,06/03/2019
5,0,06/03/2019
5,1,06/03/2019
4,0,06/03/2019
5,0,06/03/2019
4,0,06/03/2019
3,1,06/03/2019
5,0,06/03/2019
4,0,06/03/2019
4,0,06/03/2019
6,0,06/03/2019
4,0,06/03/2019
4,0,06/03/2019
3,0,06/03/2019
1,0,06/03/2019
6,0,06/03/2019
6,0,06/03/2019
6,0,06/03/2019
3,0,06/03/2019
1,1,06/03/2019
2,0,06/03/2019
5,0,06/03/2019
1,0,06/03/2019
2,0,06/03/2019
1,0,06/03/2019
2,1,06/03/2019
2,0,06/03/2019
3,0,06/03/2019
3,0,06/03/2019
5,0,06/03/2019
1,0,06/03/2019
2,1,06/03/2019
5,0,06/03/2019
1,0,06/03/2019
3,0,06/03/2019
2,0,06/03/2019
3,1,06/03/2019
3,0,06/03/2019
2,0,06/03/2019
1,0,06/03/2019
3,0,06/03/2019
2,0,06/03/2019
2,1,06/03/2019
3,0,06/03/2019
6,0,06/03/2019
5,0,06/03/2019
5,0,06/03/2019
5,0,06/03/2019
5,0,06/03/2019
4,0,06/03/2019
3,0,06/03/2019
3,0,06/03/2019
5,1,06/03/2019
5,0,06/03/2019
5,0,06/03/2019
1,1,06/03/2019
4,0,06/03/2019
6,0,06/03/2019
2,0,06/03/2019
6,0,06/03/2019
4,0,06/03/2019
6,0,06/03/2019
5,0,06/03/2019
4,0,06/03/2019
2,0,06/03/2019
4,1,06/03/2019
4,0,06/03/2019
3,0,06/03/2019
6,0,06/03/2019
5,0,06/03/2019
3,0,06/03/2019
2,0,06/03/2019
5,0,06/03/2019
2,0,06/03/2019
3,0,06/03/2019
1,0,06/03/2019
1,0,06/03/2019
3,0,06/03/2019
4,1,06/03/2019
3,0,06/03/2019
5,0,06/03/2019
6,1,06/03/2019
1,1,06/03/2019
1,0,06/03/2019
3,0,06/03/2019
4,0,06/03/2019
4,0,06/03/2019
4,0,06/03/2019
6,0,06/03/2019
6,0,06/03/2019
6,0,06/03/2019
1,0,06/03/2019
2,0,06/03/2019
3,1,06/03/2019
5,1,06/03/2019
4,0,06/03/2019
6,0,06/03/2019
6,0,06/03/2019
5,0,06/03/2019
6,0,06/03/2019
6,0,06/03/2019
3,0,06/03/2019
5,0,06/03/2019
4,1,06/03/2019
1,0,06/03/2019
6,0,06/03/2019
2,1,06/03/2019
1,1,06/03/2019
4,0,06/03/2019
5,0,06/03/2019
5,0,06/03/2019
1,0,06/03/2019
2,0,06/03/2019
4,0,06/03/2019
2,0,06/03/2019
4,1,06/03/2019
6,0,06/03/2019
5,0,06/03/2019
2,1,06/03/2019
5,1,06/03/2019
4,0,06/03/2019
6,0,06/03/2019
1,1,06/03/2019
4,0,06/03/2019
5,0,06/03/2019
3,0,06/03/2019
3,0,06/03/2019
2,0,06/03/2019
2,0,06/03/2019
4,0,06/03/2019
5,0,06/03/2019
2,0,06/03/2019
2,0,06/03/2019
4,0,06/03/2019
3,0,06/03/2019
3,0,06/03/2019
2,0,06/03/2019
1,1,06/03/2019
5,0,06/03/2019
2,1,06/03/2019
6,1,06/03/2019
5,0,06/03/2019
1,1,06/03/2019
6,0,06/03/2019
4,0,06/03/2019
1,0,06/03/2019
4,0,06/03/2019
3,0,06/03/2019
3,0,06/03/2019
6,1,06/03/2019
3,0,06/03/2019
1,0,06/03/2019
3,0,06/03/2019
3,0,06/03/2019
4,0,06/03/2019
4,1,06/03/2019
1,1,06/03/2019
1,0,06/03/2019
3,1,06/03/2019
3,0,06/03/2019
4,0,06/03/2019
3,0,06/03/2019
4,0,06/03/2019
3,0,06/03/2019
1,1,06/03/2019
3,1,06/03/2019
2,0,06/03/2019
6,0,06/03/2019
1,0,06/03/2019
1,1,06/03/2019
4,0,06/03/2019
6,0,06/03/2019
1,0,06/03/2019
2,1,06/03/2019
3,1,06/03/2019
2,0,06/03/2019
6,0,06/03/2019
1,0,06/03/2019
5,0,06/03/2019
5,0,06/03/2019
2,0,06/03/2019
5,1,06/03/2019
6,1,06/03/2019
5,0,06/03/2019
5,0,06/03/2019
4,1,06/03/2019
4,1,06/03/2019
6,0,06/03/2019
5,0,06/03/2019
5,0,06/03/2019
4,0,06/03/2019
3,1,06/03/2019
5,0,06/03/2019
4,0,06/03/2019
1,0,06/03/2019
6,1,06/03/2019
2,1,06/03/2019
3,0,06/03/2019
1,0,06/03/2019
2,0,06/03/2019
3,0,06/03/2019
3,0,06/03/2019
6,0,06/03/2019
2,0,06/03/2019
3,0,06/03/2019
5,1,06/03/2019
4,0,06/03/2019
5,0,06/03/2019
5,0,06/03/2019
2,0,06/03/2019
5,0,06/03/2019
3,0,06/03/2019
4,0,06/03/2019
2,1,06/03/2019
1,0,06/03/2019
2,1,06/03/2019
4,1,06/03/2019
2,1,06/03/2019
4,0,06/03/2019
5,1,06/03/2019
4,0,06/03/2019
4,0,06/03/2019
1,1,06/03/2019
5,0,06/03/2019
3,0,06/03/2019
6,0,06/03/2019
1,0,06/03/2019
1,0,06/03/2019
1,0,06/03/2019
2,1,06/03/2019
1,1,06/03/2019
5,0,06/03/2019
1,0,06/03/2019
2,0,06/03/2019
1,0,06/03/2019
5,0,06/03/2019
3,0,06/03/2019
4,0,06/03/2019
1,0,06/03/2019
